元好问	摸鱼儿 · 雁丘词	渺万里层云，千山暮雪，只影向谁去？
元好问	摸鱼儿 · 雁丘词	问世间、情为何物，直教生死相许？
蒋捷	江城梅花引 · 荆溪阻雪	今夜雪，有梅花，似我愁。
马致远	越调 · 天净沙 · 秋思	夕阳西下，断肠人在天涯。
杨慎	临江仙	滚滚长江东逝水，浪花淘尽英雄。
张养浩	山坡羊 · 潼关怀古	兴，百姓苦；亡，百姓苦。
刘基	如梦令	风起，风起，棹入白苹花里。
归有光	项脊轩志	庭有枇杷树，吾妻死之年所手植也，今已亭亭如盖矣。
高濂	山窗听雪敲竹	飞雪有声，惟在竹间最雅。
张岱	陶庵梦忆 · 卷三 · 湖心亭看雪	拥毳衣炉火，独往湖心亭看雪。
纳兰性德	如梦令	谁省，谁省，从此簟纹灯影。
袁枚	祭妹文	阿兄归矣，犹屡屡回头望汝也。
黄景仁	绮怀（其十五）	似此星辰非昨夜，为谁风露立中宵。
纳兰性德	浣溪沙	被酒莫惊春睡重，赌书消得泼茶香，当时只道是寻常。
沈复	浮生六记 · 卷一 · 闺房记乐	时但见满室鲜衣，芸独通体素淡。
蒋坦	秋灯琐忆	绕床弄梅，两无嫌猜。
王国维	蝶恋花 · 阅尽天涯离别苦	最是人间留不住，朱颜辞镜花辞树。
毛泽东	致彭德怀同志	谁敢横刀立马？唯我彭大将军。
毛泽东	忆秦娥 · 娄山关	雄关漫道真如铁，而今迈步从头越。
毛泽东	忆秦娥 · 娄山关	苍山如海，残阳如血。
毛泽东	清平乐 · 六盘山	今日长缨在手，何时缚住苍龙？
归有光	归程小记	一与人同，未免屈意以循之，殊非其性。
陶渊明	拟挽歌辞三首	死去何所道，托体同山阿。
陶渊明	归园田居（其一）	误落尘网中，一去三十年。
毛泽东	满江红 · 和郭沫若同志	一万年太久，只争朝夕。
毛泽东	沁园春 · 长沙	曾记否，到中流击水，浪遏飞舟！
施耐庵	七绝	他时若遂凌云志，敢笑黄巢不丈夫！
王维	终南别业	行到水穷处，坐看云起时。
王维	辛夷坞	涧户寂无人，纷纷开且落。
王维	过香积寺	泉声咽危石，日色冷青松。
王维	汉江临泛	江流天地外，山色有无中。
王维	送元二使安西	劝君更尽一杯酒，西出阳关无故人。
王维	山居秋暝	明月松间照，清泉石上流。
王维	使至塞上	大漠孤烟直，长河落日圆。
苏轼	南乡子 · 和杨元素时移守密州	何日功成名遂了，还乡，醉笑陪公三万场。
苏轼	蝶恋花 · 春景	枝上柳绵吹又少，天涯何处无芳草！
苏轼	阮郎归 · 绿槐高柳咽新蝉	玉盆纤手弄清泉，琼珠碎却圆。
苏轼	渔父四首	轻舟短棹任斜横，醒后不知何处。
苏轼	渔父四首	酒醒还醉醉还醒，一笑人间今古。
蒋捷	大圣乐 · 陶成之生日	富贵云浮，荣华风过，淡处还他滋味多。
蒋捷	虞美人 · 听雨	悲欢离合总无情，一任阶前点滴到天明。
李煜	清平乐 · 忆别	砌下落梅如雪乱，拂了一身还满。
李煜	清平乐 · 忆别	离恨恰如春草，更行更远还生。
李煜	虞美人	问君能有几多愁，恰似一江春水向东流。
李煜	玉楼春	归时休放烛花红，待踏马蹄清夜月。
李煜	菩萨蛮 · 花明月暗笼轻雾	画堂南畔见，一晌偎人颤。
柳宗元	渔翁	烟销日出不见人，欸乃一声山水绿。
柳宗元	江雪	孤舟蓑笠翁，独钓寒江雪。
黄巢	不第后赋菊	待到秋来九月八，我花开后百花杀。
黄巢	题菊花	他年我若为青帝，报与桃花一处开。
柳永	八声甘州	对潇潇暮雨洒江天，一番洗清秋。
柳永	鹤冲天	青春都一饷，忍把浮名，换了浅斟低唱！
柳永	雨霖铃 · 秋别	多情自古伤离别，更那堪、冷落清秋节。
辛弃疾	丑奴儿近 · 博山道中效李易安体	午醉醒时，松窗竹户，万千潇洒。
辛弃疾	丑奴儿近 · 博山道中效李易安体	只消山水光中，无事过这一夏。
辛弃疾	西江月 · 夜行黄沙道中	稻花香里说丰年，听取蛙声一片。
辛弃疾	摸鱼儿	千金纵买相如赋，脉脉此情谁诉？
辛弃疾	永遇乐 · 京口北固亭怀古	想当年、金戈铁马，气吞万里如虎。
辛弃疾	八声甘州	汉开边、功名万里，甚当时健者也曾闲？
辛弃疾	水龙吟 · 登建康赏心亭	把吴钩看了，栏干拍遍，无人会、登临意。
李清照	醉花阴	莫道不销魂，帘卷西风，人比黄花瘦。
李清照	渔家傲	九万里风鹏正举，风休住，蓬舟吹取三山去。
岳飞	满江红	驾长车、踏破贺兰山缺！
欧阳修	浪淘沙令	今年花胜去年红，可惜明年花更好，知与谁同。
李贺	南园十三首（其五）	请君暂上凌烟阁，若个书生万户侯？
李贺	南园十三首（其五）	男儿何不带吴钩，收取关山五十州？
苏轼	临江仙 · 夜归临皋	长恨此身非我有，何时忘却营营？
杨慎	临江仙	古今多少事，都付笑谈中。
杨慎	临江仙	青山依旧在，几度夕阳红。
杨慎	临江仙	白发渔樵江渚上，惯看秋月春风。
